Model,Accuracy,MCC
SVM,0.6145588235294117,0.1606337245324444
RandomForest,0.5845063025210084,0.12543517767943152
XGBoost,0.5770063025210084,0.10141342394132286
LightGBM,0.5683613445378151,0.11263950402628438
Gradient Boosting (GBM),0.5574579831932773,0.09419184142934475
CatBoost,0.5548529411764705,0.0661132814327663
LogisticRegression,0.5521113445378152,0.07110815599227528
