Model,Accuracy,MCC
RandomForest,0.6321052631578947,0.21388766095800607
CatBoost,0.6171052631578947,0.17347583962456725
XGBoost,0.6042763157894737,0.13155849468557196
SVM,0.5949342105263158,0.2101017025767523
LightGBM,0.5792763157894737,0.14182546024340464
Gradient Boosting (GBM),0.5730263157894737,0.1362942134463816
LogisticRegression,0.5626973684210526,0.09822219928044187
