Model,Accuracy,MCC
XGBoost,0.6092731829573935,0.134407108397444
RandomForest,0.606140350877193,0.15844226377116014
CatBoost,0.5978070175438597,0.12200254491399602
Gradient Boosting (GBM),0.5807017543859649,0.1456016860391721
SVM,0.5803884711779449,0.22687834352691935
LightGBM,0.5771303258145363,0.13998002324104178
LogisticRegression,0.5731203007518797,0.11550625115812063
