Model,Accuracy,MCC
SVM,0.6022838214783822,0.1777958695005656
LightGBM,0.575836820083682,0.12108165022302068
RandomForest,0.5716759646675965,0.08341126057584414
XGBoost,0.5688865643886564,0.06805253241099435
LogisticRegression,0.5675441655044166,0.10243258859802817
CatBoost,0.5633542538354254,0.08344130834448682
Gradient Boosting (GBM),0.5536145978614598,0.07381003826460765
