Model,Accuracy,MCC
SVM,0.626617873651772,0.20287387103124338
RandomForest,0.6146379044684129,0.19003160860325907
XGBoost,0.5939714946070878,0.13607915375233653
CatBoost,0.589637904468413,0.13857232728701332
LightGBM,0.5817796610169491,0.13340533846463606
Gradient Boosting (GBM),0.5692796610169492,0.10628099020817852
LogisticRegression,0.5539869029275809,0.07738039126655301
