Model,Accuracy,MCC
XGBoost,0.6120726495726496,0.12788410146676366
RandomForest,0.6106481481481482,0.16846418594717194
CatBoost,0.6064102564102565,0.14486360053091576
LightGBM,0.5801994301994302,0.13331820480566292
Gradient Boosting (GBM),0.5717948717948719,0.10160290704988495
LogisticRegression,0.5659544159544159,0.09395319950298885
SVM,0.5620726495726496,0.14515919567144592
