Model,Accuracy,MCC
RandomForest,0.6027534113060429,0.14338229228548938
SVM,0.5925438596491228,0.153355382538855
XGBoost,0.5833333333333334,0.09094542248116468
LightGBM,0.5757553606237816,0.10608078022463412
CatBoost,0.5708576998050683,0.07780957143008105
Gradient Boosting (GBM),0.5668615984405458,0.09456017738612334
LogisticRegression,0.5576023391812865,0.07916369431525479
