Model,Accuracy,MCC
SVM,0.6050279329608939,0.17497156301257147
XGBoost,0.5799968963376785,0.08200835901648257
CatBoost,0.5744801365611422,0.09633986383546966
RandomForest,0.5675046554934823,0.07185848433172085
LightGBM,0.5661778398510242,0.10121173914545087
Gradient Boosting (GBM),0.5661623215394165,0.09791500782810802
LogisticRegression,0.5425279329608939,0.03641768270626193
