Model,Accuracy,MCC
SVM,0.626613924050633,0.20509659617376252
XGBoost,0.6090822784810127,0.126250645606215
CatBoost,0.5915506329113924,0.10337094900798419
RandomForest,0.5915189873417722,0.12503169574207437
LightGBM,0.5791139240506329,0.12482878643833809
LogisticRegression,0.5689240506329114,0.10013198357407586
Gradient Boosting (GBM),0.5565189873417722,0.07331984785759953
