Model,Accuracy,MCC
XGBoost,0.60642602909316,0.152750144366126
CatBoost,0.5966999380996596,0.13083392608319716
SVM,0.5840916125038688,0.16521857638910548
RandomForest,0.5786173011451563,0.1062304904054553
LogisticRegression,0.5563563912101517,0.08011273980955913
Gradient Boosting (GBM),0.5549945837202104,0.07946433096586072
LightGBM,0.5522129371711544,0.07734921999658273
